# metadata={"schema":"zvvnmod-utn57-runtime-map-v1","baseline":"sha256:83a60c3e1ac9df98a14c1a6d979f7c5c8733f1e70d52b81f41de1dd321ea5016"}
id,sources,targets,note
particle:11,U_ISOL,U:isol,
particle:12,U_ISOL,U:isol,
particle:13,O_INIT A_FINA,O:init A:fina,
particle:14,O_INIT A_FINA,O:init A:fina,
particle:15,O_INIT O_MEDI A_FINA,O:init Dd:fina,
particle:16,O_INIT O_MEDI A_FINA,O:init Dd:fina,
particle:17,CH_INIT U_FINA,Ch:init U:fina,
particle:18,CH_INIT U_FINA,Ch:init U:fina,
particle:19,T_INIT U_FINA,T:init U:fina,
particle:20,T_INIT U_FINA,T:init U:fina,
particle:21,T_INIT O_MEDI R_FINA,T:init O:medi R:fina,
particle:22,T_INIT O_MEDI N_MEDI I_FINA,T:init O:medi N:medi I:fina,
particle:23,Y_INIT O_MEDI G_MEDI A_MEDI A_FINA,Y:init O:medi G:medi A:medi A:fina,
particle:24,L_INIT O_MEDI G_MEDI AA_FINA,L:init O:medi G:medi Aa:fina,
particle:25,N_INIT O_MEDI G_MEDI O_MEDI A_FINA,N:init O:medi G:medi O:medi Dd:fina,
particle:26,N_INIT O_MEDI G_MEDI A_MEDI A_FINA,N:init O:medi G:medi A:medi A:fina,
particle:27,Y_INIT O_MEDI M_FINA,Y:init O:medi M:fina,
particle:28,Y_INIT O_MEDI M_MEDI S_MEDI A_MEDI A_FINA,Y:init O:medi M:medi S:medi A:medi A:fina,
particle:29,G_INIT O_FINA,G:init O:fina,
particle:30,I_INIT I_FINA,I:init I:fina,
particle:31,I_INIT I_MEDI A_FINA,I:init I:medi A:fina,
particle:32,D_INIT A_MEDI N_MEDI N_MEDI A_MEDI A_FINA,D:init A:medi Hx:medi A:medi A:fina,
particle:33,D_INIT A_MEDI G_MEDI A_MEDI A_FINA,D:init A:medi G:medi A:medi A:fina,
particle:34,D_INIT U_FINA,D:init U:fina,
particle:35,D_INIT U_FINA,D:init U:fina,
particle:36,D_INIT A_MEDI H_FINA,D:init A:medi H:fina,
particle:37,D_INIT A_MEDI I_MEDI AA_FINA,D:init A:medi G:fina,
particle:38,D_INIT A_MEDI G_MEDI I_FINA,D:init A:medi G:medi I:fina,
particle:39,D_INIT A_MEDI G_MEDI I_FINA,D:init A:medi G:medi I:fina,
particle:40,D_INIT O_MEDI R_FINA,D:init O:medi R:fina,
particle:41,D_INIT O_MEDI R_FINA,D:init O:medi R:fina,
particle:42,D_INIT O_MEDI N_MEDI I_FINA,D:init O:medi N:medi I:fina,
particle:43,D_INIT O_MEDI N_MEDI I_FINA,D:init O:medi N:medi I:fina,
particle:44,D_INIT O_MEDI N_MEDI N_MEDI A_MEDI R_FINA,D:init O:medi Hx:medi A:medi R:fina,
particle:45,D_INIT O_MEDI G_MEDI A_MEDI R_FINA,D:init O:medi G:medi A:medi R:fina,
particle:46,D_INIT A_FINA,D:init A:fina,
particle:47,D_INIT A_FINA,D:init A:fina,
